origin,learner,country_name,y,p
2012,rf,Lesotho,1,0.27683245022950886
2012,rf,Luxembourg,0,0.02336599548112706
2012,rf,Mexico,0,0.23446177025588774
2012,rf,Mongolia,1,0.27283008092054134
2012,rf,Mauritius,1,0.10892680711101764
2012,rf,Malawi,0,0.2607634084182071
2012,rf,Namibia,0,0.16307639582639585
2012,rf,Nigeria,0,0.32975463696090623
2012,rf,Norway,0,0.012446428571428572
2012,rf,Philippines,1,0.49511989338276086
2012,rf,Poland,1,0.05503733766233767
2012,rf,Portugal,0,0.025964646464646465
2012,rf,Paraguay,0,0.1924540871102992
2012,rf,Romania,0,0.06345095912859072
2012,rf,Senegal,0,0.3500044365356863
2012,rf,Sierra Leone,0,0.23154795204795203
2012,rf,Sweden,0,0.018962406015037594
2012,rf,Trinidad and Tobago,0,0.08322309634809637
2012,rf,Tunisia,1,0.24933998681057498
2012,rf,United States of America,0,0.11802211823637991
2012,rf,South Africa,0,0.3101012043512043
2012,lr,Albania,0,0.30524074568259985
2012,lr,Argentina,0,0.04137851755837341
2012,lr,Australia,0,0.0014725438299526337
2012,lr,Belgium,0,0.014585549934207964
2012,lr,Benin,0,0.029157688501857303
2012,lr,Burkina Faso,1,0.24219421894707344
2012,lr,Bulgaria,0,0.04482410916989204
2012,lr,Brazil,1,0.011823534671976724
2012,lr,Bhutan,0,0.6648804807146036
2012,lr,Botswana,1,0.049550768746090885
2012,lr,Canada,0,0.012783944134368964
2012,lr,Chile,0,0.1909669112608753
2012,lr,Colombia,0,0.0010331450916541338
2012,lr,Costa Rica,0,0.1265416474884979
2012,lr,Cyprus,0,0.005129293469707778
2012,lr,Germany,0,0.030786979214979415
2012,lr,Denmark,0,0.025989381937222753
2012,lr,Spain,0,0.01426296243821407
2012,lr,Finland,0,0.012458457594483632
2012,lr,France,0,0.0028920108958749363
2012,lr,United Kingdom,0,0.1657687592010391
2012,lr,Ghana,1,0.08880681041714426
2012,lr,Greece,0,0.010793263086924503
2012,lr,Guyana,0,0.08621656151677388
