country_name,country_text_id,aut_ep_id,onset,end,outcome,censored,paper_onset,paper_peak,paper_type,status
Pakistan,PAK,PAK_2015_2025,2015.0,2025.0,3.0,1.0,,,,ert_only
Palestine/West Bank,PSE,PSE_2006_2008,2006.0,2008.0,1.0,0.0,,,,ert_only
Papua New Guinea,PNG,PNG_2007_2013,2007.0,2013.0,1.0,0.0,,,,ert_only
Peru,PER,PER_2016_2025,2016.0,2025.0,4.0,1.0,,,,ert_only
Philippines,PHL,PHL_2001_2005,2001.0,2005.0,1.0,0.0,2016.0,2022.0,backsliding,onset_differs
Philippines,PHL,PHL_2016_2025,2016.0,2025.0,1.0,1.0,2016.0,2022.0,backsliding,matched
Poland,POL,POL_2016_2021,2016.0,2021.0,2.0,0.0,2015.0,2019.0,backsliding,onset_differs
Romania,ROU,ROU_2021_2025,2021.0,2025.0,4.0,1.0,,,,ert_only
Russia,,,,,,,2000.0,2012.0,backsliding,paper_addition
Saudi Arabia,,,,,,,2017.0,2024.0,backsliding,paper_addition
Senegal,SEN,SEN_2021_2025,2021.0,2025.0,4.0,1.0,,,,ert_only
Serbia,SRB,SRB_2010_2025,2010.0,2025.0,1.0,1.0,2012.0,2020.0,backsliding,onset_differs
Slovakia,SVK,SVK_2023_2025,2023.0,2025.0,4.0,1.0,,,,ert_only
Slovenia,SVN,SVN_2012_2021,2012.0,2021.0,2.0,0.0,2021.0,2024.0,backsliding,onset_differs
Slovenia,SVN,SVN_2023_2025,2023.0,2025.0,4.0,1.0,2021.0,2024.0,backsliding,onset_differs
Solomon Islands,SLB,SLB_1998_2001,1998.0,2001.0,1.0,0.0,,,,ert_only
South Korea,KOR,KOR_2008_2014,2008.0,2014.0,2.0,0.0,2024.0,2025.0,backsliding,onset_differs
South Korea,KOR,KOR_2019_2023,2019.0,2023.0,2.0,0.0,2024.0,2025.0,backsliding,onset_differs
Sri Lanka,LKA,LKA_2004_2006,2004.0,2006.0,1.0,0.0,,,,ert_only
Sudan,,,,,,,2021.0,2022.0,coup,paper_addition
Tajikistan,,,,,,,2016.0,2024.0,backsliding,paper_addition
Tanzania,TZA,TZA_2015_2021,2015.0,2021.0,3.0,0.0,,,,ert_only
Thailand,THA,THA_2003_2007,2003.0,2007.0,1.0,0.0,2014.0,2014.0,coup,onset_differs
Thailand,THA,THA_2013_2014,2013.0,2014.0,3.0,0.0,2014.0,2014.0,coup,onset_differs
Togo,TGO,TGO_2017_2025,2017.0,2025.0,3.0,1.0,,,,ert_only
Tunisia,TUN,TUN_2014_2022,2014.0,2022.0,1.0,0.0,2021.0,2023.0,backsliding,onset_differs
Türkiye,TUR,TUR_2005_2017,2005.0,2017.0,1.0,0.0,2013.0,2017.0,backsliding,onset_differs
Uganda,,,,,,,2017.0,2024.0,backsliding,paper_addition
Ukraine,UKR,UKR_1997_2000,1997.0,2000.0,1.0,0.0,2010.0,2013.0,backsliding,onset_differs
Ukraine,UKR,UKR_2010_2014,2010.0,2014.0,1.0,0.0,2010.0,2013.0,backsliding,matched
Ukraine,UKR,UKR_2021_2025,2021.0,2025.0,4.0,1.0,2010.0,2013.0,backsliding,onset_differs
United Kingdom,GBR,GBR_2019_2025,2019.0,2025.0,4.0,1.0,,,,ert_only
United States of America,USA,USA_2024_2025,2024.0,2025.0,4.0,1.0,,,,ert_only
Venezuela,VEN,VEN_1998_2018,1998.0,2018.0,1.0,0.0,2002.0,2013.0,backsliding,onset_differs
Yemen,YEM,YEM_2013_2016,2013.0,2016.0,3.0,0.0,,,,ert_only
Zambia,ZMB,ZMB_2011_2019,2011.0,2019.0,1.0,0.0,2013.0,2020.0,backsliding,onset_differs
