country_text_id,contiguity,alliance,trade,full
GIN,0.43578628137225756,0.3471388646170137,0.36740119833853246,0.388711255836028
GMB,0.47011076435899907,0.3475291154248047,0.37632141257309704,0.36962288986117897
GNB,0.4681126035828925,0.40752919352055567,0.4873609612506705,0.4806586108496379
GNQ,0.21229889636755245,0.2103353977439853,0.25485717573202193,0.23428608033313475
GRC,0.3656592454690783,0.32460475196079147,0.31857120502749875,0.31635103829621614
GTM,0.40523019741919286,0.32629794091436837,0.3563576800297771,0.36054993531129476
GUY,0.5971006988751059,0.489344687078206,0.5712336176818222,0.5675081402495283
HRV,0.446174781055883,0.3809516618752934,0.40241881305093985,0.35889219953149054
HTI,0.29563072230228354,0.3998944400045347,0.38727360703535496,0.4279627960677522
HUN,0.5676012246366591,0.5937576350263469,0.705607175844035,0.5755510703915805
IDN,0.33962390289243,0.30158245392885263,0.3768864398690213,0.37906177438039845
IND,0.4290807030873184,0.3880307790025935,0.5722361233435457,0.5194257472839741
IRL,0.14793373602477328,0.24698837817222863,0.17732780338202633,0.17405414834888175
IRN,0.25968595959233237,0.22580127349413653,0.32973757855701147,0.26668469969945036
IRQ,0.3118992052249524,0.23854756590518017,0.41803748864188395,0.3443436204824716
ISL,0.3481624572355884,0.2522119358116579,0.2236935837243586,0.21528402982818168
ISR,0.30527665378781554,0.2509348828304111,0.3185609524053687,0.26890670935639643
ITA,0.18243171189975715,0.22510030608495782,0.2676107382323015,0.20777121967043422
JAM,0.38559405910063643,0.29865727730650704,0.3512885694311919,0.3161673175431192
JOR,0.6212669229745174,0.5860605314402318,0.7617218626627935,0.6807543744834519
JPN,0.2993804711768392,0.24119105683477535,0.23693627114752358,0.20271305976261972
KAZ,0.345263874886774,0.27996872336718176,0.37363867553645747,0.27032155978133493
KEN,0.29855652665194604,0.3139587706533171,0.3189326242481704,0.32956591880438524
KGZ,0.4532143533221544,0.42656519270282567,0.5000490056192707,0.39378415995707516
KHM,0.22850100766193404,0.2690817605316409,0.35803187274015313,0.3207286974139884
KOR,0.41707683608717544,0.381526270767672,0.33144445182341803,0.31551280590171177
LAO,0.08524144403415625,0.12868983605996132,0.16707415087692865,0.12949423552241127
LBN,0.26294336699821674,0.20457608647457012,0.38374287470950585,0.3152859652809488
LBR,0.33324912846384,0.24038695259429232,0.31663564412610096,0.29729789306694215
LKA,0.44494631022781944,0.40225178044038234,0.4557374110717668,0.46912093065994254
LSO,0.4111188045291806,0.3383466432562594,0.42771395631145237,0.41687263261671614
LTU,0.339451364265566,0.2885656267324527,0.2617646364940485,0.22705419804455781
LUX,0.15769442797923106,0.217902225596109,0.16399882104817456,0.1677028549011177
LVA,0.32515053748559775,0.25380673964136363,0.24558585401240102,0.19109392592731095
MAR,0.492770061071554,0.50945703037725,0.6885176384639773,0.6222998672026396
MDA,0.45605227709057133,0.3987418514298609,0.4051028888600877,0.3663441697879181
MDV,0.5958789121336586,0.5148153299603072,0.5429093936507791,0.5551658313833067
MEX,0.6520006480810967,0.6211837656655779,0.6265838876253708,0.6595322316707397
MKD,0.5103355187990128,0.5234876742357383,0.5801008909458142,0.5506889120166433
MLI,0.47599223781596944,0.4581800000532403,0.5061798252880305,0.4992707314987098
MMR,0.2713998021865959,0.3240614376730783,0.35064153425148276,0.35763703088005727
MNG,0.4892342636953867,0.38531199286149737,0.46754597982133533,0.4587265775329669
MOZ,0.40718024671527075,0.37368015627647816,0.4529082422303315,0.42702886762429576
MUS,0.37269529473289376,0.3691262688929222,0.5309107604625168,0.4669533249648844
MWI,0.3229090113989242,0.2630095650430424,0.3170686230670391,0.33882990040225586
MYS,0.7117249678064235,0.6767549906403538,0.7581761034509868,0.7931283240724187
NAM,0.34498784099020774,0.28883512227647806,0.404940009477044,0.40057028522834665
NER,0.4458177744806182,0.4030942914219785,0.4703206888730881,0.46815350028292746
NGA,0.29446585650126295,0.22733217501845257,0.30765617060685485,0.28397841323707446
NIC,0.21880856742806368,0.20084290275461844,0.20932006992662275,0.1967115468081614
NLD,0.16892501830354836,0.14095349434018,0.22554753649701417,0.16927082960673528
NOR,0.14822715203583456,0.18385014581603082,0.15392104417583813,0.14634081471234842
NPL,0.33634524988743764,0.2867367415160832,0.3946099664834393,0.380542119738439
NZL,0.18636257317828608,0.22843635496287976,0.1892789173555732,0.18871831768051012
PAK,0.27174706189788883,0.2708533505992868,0.38779854870127,0.35212844529785625
PHL,0.44721852958130137,0.3579940371737857,0.3753571716340603,0.3707534455794858
PNG,0.33029311016199675,0.28397416762658134,0.37406278054630526,0.37214326701130424
POL,0.5129586338015978,0.439511602657365,0.47503000756836433,0.4154044902246534
PRK,0.09613014272718581,0.06059624016156846,0.0847645197653862,0.0672991404723223
PRT,0.2544929785735591,0.284581501105684,0.2739055694016207,0.2455760849374526
PRY,0.43950643196271805,0.33853768775102927,0.37990833648376043,0.3702968309791313
ROU,0.5706472881211263,0.45653770131236115,0.4842357043577957,0.42473166532873474
RUS,0.22882132545757794,0.22601599529155786,0.2869857515858644,0.2125468286317087
RWA,0.23376310677507525,0.25100832335868284,0.2842480645801735,0.26315926575040977
SDN,0.46105835015449054,0.42309566660048537,0.47931233348288593,0.490876072790165
SEN,0.41206077746068015,0.3373802754246897,0.3800822989702743,0.3675612542892752
SLE,0.3868234180115494,0.28170532250295743,0.35316925317383435,0.35178553346803076
SOM,0.31295889705105256,0.35054115066972097,0.36707721624413503,0.39108015510113214
SRB,0.5612711492393362,0.6055234283052491,0.7233062777234334,0.6215098627682935
SWE,0.10810239112003699,0.17177815284135461,0.15017555145924147,0.13580111069546488
SWZ,0.2708462241451365,0.28377780712047723,0.2656707075792256,0.29324713500471933
SYC,0.5409351675023762,0.3973150936638774,0.4297870772582272,0.403736239027745
SYR,0.1819182288601615,0.2204728788230527,0.23897533995258705,0.2173495990650894
TCD,0.35596306320524607,0.33563553664491613,0.41815318131772833,0.35309809322966323
TGO,0.4536760894822039,0.42697684721826235,0.5147869996327809,0.46455094966158733
THA,0.4356758223357559,0.4758454321202333,0.6111501169001412,0.515279261958398
TJK,0.19110148793452658,0.18322017969960724,0.24584751679155686,0.17787865379700907
TKM,0.11008410853261048,0.08596718343998482,0.14848461806426855,0.09561358547449939
TTO,0.2661527310594026,0.2824364639575564,0.33533353650125786,0.2816550801302669
TUN,0.615683130687237,0.5560959551768899,0.6390676862341188,0.5844524055871965
TUR,0.30874302989186464,0.3058549072831315,0.3824367419097615,0.2972924507162099
TWN,0.16444467407646918,0.17947448070521316,0.28825834847288706,0.19796080094945784
TZA,0.5872908216849649,0.5200281592477517,0.6589040275712499,0.6262799420803904
UGA,0.4607298803176295,0.432052028683455,0.5089511617096029,0.43930877640123367
UKR,0.5780344576619767,0.5606068219015243,0.7071054656733955,0.6093446580374857
URY,0.5005302404490303,0.3642479660428165,0.2857171809823433,0.311768120407857
USA,0.2943618431816919,0.28228235846649363,0.2464563379332901,0.22520715327307816
UZB,0.22862620601106326,0.2264362691180873,0.2616642835396597,0.1904976052574463
VEN,0.340428585652103,0.2998016537865196,0.3089010358166723,0.29219589256327877
VNM,0.13359204037676392,0.18284105365681083,0.2310059740944229,0.17972745784619198
YEM,0.18476186185076723,0.24621295506809765,0.23226064192555165,0.21425777277453317
ZAF,0.2996513666485443,0.28294125328312486,0.35623067424554605,0.3253799950212978
ZMB,0.3829604798117289,0.3295208728725646,0.4119850573534727,0.39109991825192186
ZWE,0.4038837618558113,0.3553139156479566,0.46014032465644006,0.4237808762555348
