feature,mean_delta_auc,std_delta_auc,mean_delta_auc_pr,std_delta_auc_pr,rank
poly_c22_13_detrended,0.0004425980232432347,0.002178174987572261,-0.011240179782364034,0.012223129940776359,83
libdem_c22_6_detrended,0.00041816009557950063,0.0002676428743097794,0.0017944661640041492,0.0020379044690696352,84
v2smgovsmmon_x_post2015,0.0004127294449875918,0.00019780295253104396,0.002556506255636659,0.0016044664557620218,85
libdem_c22_21,0.0003882915173238355,0.00035219070550599385,0.0027297198327502215,0.0014899775956864003,86
food_prod_index,0.0003774302161399401,0.0003269559358688174,0.002364803051174191,0.00175726872728821,87
poly_c22_5_detrended,0.0003747148908439746,0.00021487510554614643,0.0033338232433927197,0.0008378369697787331,88
youth_bulge_proxy_detrended,0.00036928424025206574,0.0006231722495150045,0.005785889984509329,0.003284807046673888,89
mv_csd_index_lag1,0.00036928424025203246,0.0007278332531557736,0.0015194476236334853,0.0030984345655727303,90
libdem_c22_16,0.0003665689149560669,0.00018293493113396398,0.0009891801738316941,0.0009056040480863842,91
food_prod_index_detrended,0.0003394156619964117,0.00010955177615681591,0.0010899382249290545,0.0008453688548091444,92
var_z,0.00032040838492458645,0.00015614104234348342,0.002328634431453569,0.0008092848501367395,93
libdem_c22_17_detrended,0.00032040838492456423,0.0001923435278829604,0.0014235982532124658,0.0007943630607785743,94
libdem_c22_4,0.0003149777343325888,0.00015997647511158534,0.0021732242125563016,0.0007321673996793698,95
election_vulnerability_x_post2015_detrended,0.00030954708374070217,0.0004947889301716845,0.0005225895958270166,0.0014475922888122974,96
poly_c22_15_detrended,0.0003014011078528056,0.0002302073504322773,0.0021389266501954498,0.0006739275825404399,97
libdem_c22_13,0.00029597045726083017,0.00013989709156280182,0.002322255157893538,0.0005917130745636155,98
poly_c22_16,0.00029597045726083017,0.00015648170458452696,0.002277502994554437,0.0011574516720060468,99
poly_c22_14_detrended,0.0002905398066689102,0.00018814502713286485,0.0025612313124516507,0.0014175149250707966,100
ar1_trend,0.00027424785489308377,0.00035135232136386876,0.0036486451672647193,0.001775697990834236,101
mv_csd_index_delta2,0.0002688172043011416,0.00010743755277304267,0.0020461869700023837,0.0007859030070787334,102
election_vulnerability,0.0002606712284131896,0.00012684441578040818,0.0020217731189382305,0.0010700862078113725,103
mil_zscore_detrended,0.00024709460193337305,8.339777343173127e-05,0.0012481801560925599,0.0011889479127503311,104
election_vulnerability_pctile,0.0002443792766374187,0.0001525315841782738,0.001066698042947245,0.0007813056864656233,105
libdem_c22_7_detrended,0.0002389486260454321,0.0001643214325029514,0.0015969876545705252,0.0005201187630536455,106
poly_c22_6,0.0002362333007494888,0.00013848454793361008,0.0018374383344501367,0.0007857532431418375,107
election_vulnerability_detrended,0.00023623330074947768,7.998823755579834e-05,0.00263455545286998,0.0007486687777178389,108
poly_c22_7,0.00023351797545353436,0.00015102026439746884,0.0007380719710823102,0.0005439353982917529,109
libdem_c22_12_detrended,0.00022265667426965007,0.0001447041663351211,0.003458018962859799,0.0018955168942124882,110
poly_c22_6_detrended,0.00022265667426962787,0.00015296064714730205,0.002839839200007288,0.0012581145265778307,111
election_vulnerability_lag1,0.00022265667426961676,0.0002684375220253384,0.002321405105273444,0.0021175516273376402,112
csd_index_pctile_lag3,0.00021994134897364016,0.00014563529371362192,0.0015483075705914895,0.0008888235227143005,113
v2smpardom_x_post2015,0.00020636472249380144,0.00016990985163836306,0.0021152367745027045,0.0009372090979202567,114
libdem_c22_6,0.00020636472249379033,0.00018777455530051424,0.00036917514938317186,0.0003546688075714667,115
years_since_break_libdem,0.00020636472249376813,0.00032814393824941477,0.0023794793436327844,0.003594860498869092,116
poly_c22_16_detrended,0.00019821874660589379,9.49717127517081e-05,0.0010835255052869751,0.0007895669089427162,117
csd_index_lag1,0.00019550342130993936,0.00019446144603012678,0.002237014134260096,0.001030130756776111,118
csd_index_pctile,0.00019278809601397384,0.00012307477950402611,0.00044669526940404046,0.0005633453782916251,119
v2smgovsmmon_x_post2015_detrended,0.00018464212012605507,0.0003944860873901483,0.0005034621116686733,0.0047011829324876495,120
skew_trend,0.00018192679483008956,0.00012993902589341396,0.0016868903694385207,0.000835598810772885,121
poly_c22_7_detrended,0.00016835016835023975,0.00011362626136977828,0.001090324340649762,0.0004835089455045465,122
mil_zscore,0.00016563484305424093,0.00010434294766268065,0.0036785513601619636,0.0019496762129086213,123
repression_count_zscore_lag1,0.00015477354187036773,9.055608731241086e-05,0.0007224850771538005,0.0004025834361036437,124
poly_c22_13,0.00015205821657438,0.0001349795581789974,0.0010299855282844162,0.0007150645172819484,125
libdem_c22_13_detrended,0.00014119691539051792,0.00012129803821549936,0.0009718618035438386,0.0006416599086561817,126
global_exposure_libdem_detrended,0.00013305093950265466,0.0003552939713226521,-8.093942338919247e-05,0.001153087847317944,127
global_exposure_polyarchy_detrended,0.00013305093950261027,0.00021435979389701766,0.0011515947809124238,0.0015144370101768203,128
poly_c22_21_detrended,0.00013305093950258807,0.00015804447675857176,0.002202089935708873,0.001429083299343401,129
libdem_c22_2_detrended,0.00013033561420661144,8.941811690547962e-05,0.0015055292656315777,0.0007806877021117948,130
conflict_count_zscore,0.00012762028891066812,8.100594053534245e-05,0.0006419924566878233,0.000537209231765842,131
poly_c22_4_detrended,0.000127620288910657,0.00011942630520290312,0.0002493466223668639,0.0005985796975421784,132
skew_z,0.0001249049636146915,0.0004964418676620355,0.0017980699660910203,0.0024890986383675506,133
libdem_c22_2,0.00012218963831874818,9.935600811021102e-05,0.0010722134482430423,0.00040374857507231545,134
poly_c22_2,0.00012218963831870378,9.252492804507846e-05,0.0013434054804677743,0.0007120406266558022,135
libdem_c22_15,0.00011404366243081832,6.244592270614154e-05,0.0011398890147660378,0.0007511500782823218,136
eig_trend_sig,0.00011404366243080721,6.869290018829871e-05,0.000588930439380675,0.00037224829272828984,137
