country,onset,type,max_risk,threshold,detected
Burma/Myanmar,2021,coup,0.7541840343002516,0.6337842442066225,True
Burma/Myanmar,2021,coup,0.7541840343002516,0.663187838539446,True
Burma/Myanmar,2021,coup,0.7541840343002516,0.6925914328722694,True
Mali,2020,coup,0.769973710558153,0.13392314054862373,True
Mali,2020,coup,0.769973710558153,0.1633267348814472,True
Mali,2020,coup,0.769973710558153,0.19273032921427063,True
Mali,2020,coup,0.769973710558153,0.2221339235470941,True
Mali,2020,coup,0.769973710558153,0.25153751787991757,True
Mali,2020,coup,0.769973710558153,0.280941112212741,True
Mali,2020,coup,0.769973710558153,0.31034470654556445,True
Mali,2020,coup,0.769973710558153,0.3397483008783879,True
Mali,2020,coup,0.769973710558153,0.3691518952112114,True
Mali,2020,coup,0.769973710558153,0.39855548954403486,True
Mali,2020,coup,0.769973710558153,0.4279590838768583,True
Mali,2020,coup,0.769973710558153,0.4573626782096818,True
Mali,2020,coup,0.769973710558153,0.48676627254250526,True
Mali,2020,coup,0.769973710558153,0.5161698668753287,True
Mali,2020,coup,0.769973710558153,0.5455734612081521,True
Mali,2020,coup,0.769973710558153,0.5749770555409756,True
Mali,2020,coup,0.769973710558153,0.604380649873799,True
Mali,2020,coup,0.769973710558153,0.6337842442066225,True
Mali,2020,coup,0.769973710558153,0.663187838539446,True
Mali,2020,coup,0.769973710558153,0.6925914328722694,True
Burkina Faso,2022,coup,0.6967326373262237,0.13392314054862373,True
Burkina Faso,2022,coup,0.6967326373262237,0.1633267348814472,True
Burkina Faso,2022,coup,0.6967326373262237,0.19273032921427063,True
Burkina Faso,2022,coup,0.6967326373262237,0.2221339235470941,True
Burkina Faso,2022,coup,0.6967326373262237,0.25153751787991757,True
Burkina Faso,2022,coup,0.6967326373262237,0.280941112212741,True
Burkina Faso,2022,coup,0.6967326373262237,0.31034470654556445,True
Burkina Faso,2022,coup,0.6967326373262237,0.3397483008783879,True
Burkina Faso,2022,coup,0.6967326373262237,0.3691518952112114,True
Burkina Faso,2022,coup,0.6967326373262237,0.39855548954403486,True
Burkina Faso,2022,coup,0.6967326373262237,0.4279590838768583,True
Burkina Faso,2022,coup,0.6967326373262237,0.4573626782096818,True
Burkina Faso,2022,coup,0.6967326373262237,0.48676627254250526,True
Burkina Faso,2022,coup,0.6967326373262237,0.5161698668753287,True
Burkina Faso,2022,coup,0.6967326373262237,0.5455734612081521,True
Burkina Faso,2022,coup,0.6967326373262237,0.5749770555409756,True
Burkina Faso,2022,coup,0.6967326373262237,0.604380649873799,True
Burkina Faso,2022,coup,0.6967326373262237,0.6337842442066225,True
Burkina Faso,2022,coup,0.6967326373262237,0.663187838539446,True
Burkina Faso,2022,coup,0.6967326373262237,0.6925914328722694,True
Nicaragua,2007,backsliding,0.2958938231886277,0.13392314054862373,True
Nicaragua,2007,backsliding,0.2958938231886277,0.1633267348814472,True
Nicaragua,2007,backsliding,0.2958938231886277,0.19273032921427063,True
Nicaragua,2007,backsliding,0.2958938231886277,0.2221339235470941,True
Nicaragua,2007,backsliding,0.2958938231886277,0.25153751787991757,True
Nicaragua,2007,backsliding,0.2958938231886277,0.280941112212741,True
Nicaragua,2007,backsliding,0.2958938231886277,0.31034470654556445,False
Nicaragua,2007,backsliding,0.2958938231886277,0.3397483008783879,False
Nicaragua,2007,backsliding,0.2958938231886277,0.3691518952112114,False
Nicaragua,2007,backsliding,0.2958938231886277,0.39855548954403486,False
Nicaragua,2007,backsliding,0.2958938231886277,0.4279590838768583,False
Nicaragua,2007,backsliding,0.2958938231886277,0.4573626782096818,False
Nicaragua,2007,backsliding,0.2958938231886277,0.48676627254250526,False
Nicaragua,2007,backsliding,0.2958938231886277,0.5161698668753287,False
Nicaragua,2007,backsliding,0.2958938231886277,0.5455734612081521,False
Nicaragua,2007,backsliding,0.2958938231886277,0.5749770555409756,False
Nicaragua,2007,backsliding,0.2958938231886277,0.604380649873799,False
Nicaragua,2007,backsliding,0.2958938231886277,0.6337842442066225,False
Nicaragua,2007,backsliding,0.2958938231886277,0.663187838539446,False
Nicaragua,2007,backsliding,0.2958938231886277,0.6925914328722694,False
Philippines,2016,backsliding,0.4470578652549035,0.13392314054862373,True
Philippines,2016,backsliding,0.4470578652549035,0.1633267348814472,True
Philippines,2016,backsliding,0.4470578652549035,0.19273032921427063,True
Philippines,2016,backsliding,0.4470578652549035,0.2221339235470941,True
Philippines,2016,backsliding,0.4470578652549035,0.25153751787991757,True
Philippines,2016,backsliding,0.4470578652549035,0.280941112212741,True
Philippines,2016,backsliding,0.4470578652549035,0.31034470654556445,True
Philippines,2016,backsliding,0.4470578652549035,0.3397483008783879,True
Philippines,2016,backsliding,0.4470578652549035,0.3691518952112114,True
Philippines,2016,backsliding,0.4470578652549035,0.39855548954403486,True
