country,factor,q_state,r_obs,snr,neg_loglik,T,beta_mean,beta_std
Mali,factor_3,1.7108228378443702,0.20346682446885456,8.408362603143946,31.147846651090447,56,2.596345250157285,1.9010685004788415
Mali,factor_4,0.00033546262790251185,0.011235390491171813,0.029857674120548013,-38.32581323405962,56,0.3680992402716603,0.25663498449734773
Pakistan,factor_1,0.3007763291428598,0.011937761222065219,25.19537152300537,-34.42920571339102,56,0.2935164626812539,0.674925655795009
Pakistan,factor_2,0.05274162234214368,0.008374237477324629,6.298080569718138,-44.700877291369494,56,0.7529533214448767,0.28604389953695686
Pakistan,factor_3,0.40896200978568964,0.27894318291883197,1.4661122222323357,37.3021802627419,56,-0.452212016700202,1.049719087348375
Pakistan,factor_4,0.4110002446752711,0.08345428280767259,4.92485503257461,9.328130376877905,56,1.6929987329423484,1.1206892123720988
Senegal,factor_1,0.00033546262790251185,0.0012880540673675708,0.260441418106078,-88.10459674949544,56,0.3119868688603211,0.03555493567695613
Senegal,factor_2,0.06990304146916237,0.0022670734119308255,30.8340440593087,-74.36596035877221,56,0.3512511480562078,0.43310522734231205
Senegal,factor_3,0.00033546262790251185,0.007040232679243245,0.04764936660283375,-49.09043771582194,56,0.30257304484186553,0.0761049491370053
Senegal,factor_4,0.28677307803315694,0.013144076212341942,21.817667015950846,-32.728964013889026,56,-0.06895303135242789,1.1693615604410275
Sudan,factor_1,7.38905609893065,0.0037435000530839694,1973.8362479368473,-34.49327049878194,54,0.6586560557508908,2.3941925401219804
Sudan,factor_2,0.00033546262790251185,0.0037129403513075985,0.09034958716327637,-64.287774284553,54,0.07896378464450497,0.2817545408017948
Sudan,factor_3,0.26293329459150033,0.2643571146800547,0.9946140277318521,35.856957068493436,54,0.10590640407163528,1.2663911370022571
Sudan,factor_4,0.00033546262790251185,0.0951380906318865,0.0035260601266479293,11.423968597185878,54,0.48918131909697304,0.42567754412592124
Vietnam,factor_1,0.34611268136060946,0.0013776688720649095,251.2306755119181,-79.60656698500284,56,0.5016344251320206,0.3604521746256615
Vietnam,factor_2,0.00033546262790251185,0.0029882508654323057,0.1122605306612974,-69.25820164010102,56,0.3733982347376537,0.1490904013131537
Vietnam,factor_3,0.00033546262790251185,0.004199379423613941,0.0798838576043258,-61.01370321308949,56,0.5431359247167721,0.1465633227996855
Vietnam,factor_4,0.019998892641491604,0.0012663931655074094,15.792009295532315,-87.68522968670011,56,-0.10916687898084278,0.23075412747609744
Afghanistan,factor_1,0.00033546262790251185,0.029463608850607306,0.011385659835610983,-15.708695178952631,54,0.5433864896128141,0.4409173365747694
Afghanistan,factor_2,7.38905609893065,0.010523224400463084,702.1665430422152,-31.22492637359931,54,-0.4867262572128265,1.5714386655899042
Afghanistan,factor_3,0.00033546262790251185,0.1527549738297354,0.002196083174852474,22.606682242426004,54,0.873758480439423,1.181463751406104
Afghanistan,factor_4,0.00033546262790251185,0.025223028869246794,0.013299855050775643,-19.570502655382874,54,-0.08448578072137972,0.31975652508795904
Argentina,factor_1,0.12224088425239607,0.06652801250217137,1.8374347835568712,3.847304860437343,56,-0.2585666202902539,0.373555576017162
Argentina,factor_2,0.00033546262790251185,0.015266679324639034,0.021973516359979187,-31.445717344647623,56,1.2873384574031925,0.2395842153291286
Argentina,factor_3,0.09361812889911292,0.22788832734632042,0.4108070386459156,32.219156737822225,56,-1.645852206853482,0.5856512562422045
Argentina,factor_4,0.0712426037327988,0.01452737162644934,4.9040256947162115,-31.659128313607933,56,1.0697755958425135,0.5202194961322448
Ethiopia,factor_1,3.872407320398822,0.001835933034441394,2109.2312452327824,-60.07993462214183,56,0.2149048854790348,1.1597687547386015
Ethiopia,factor_2,2.4056092311149344,0.0017241882576078838,1395.212628609619,-70.63040164881863,56,1.1962108593491567,1.4371766670292152
Ethiopia,factor_3,0.00033546262790251185,0.08779206975482291,0.0038211039885420062,9.584099669294531,56,0.8079050267755252,0.25980896938457876
Ethiopia,factor_4,0.08583806168196552,0.01745104181397583,4.918792963593801,-27.291701987149004,56,-0.27137937323580535,0.4608464614778675
India,factor_1,0.00033546262790251185,0.013166631150134707,0.025478242997570396,-34.16252728969512,56,0.5915300879316513,0.16293955583398495
India,factor_2,0.25024671582859154,0.004010842936115425,62.39254935047645,-60.18490348205607,56,1.1538626129302079,0.7522992767994633
India,factor_3,0.00033546262790251185,0.0026533609790206584,0.12642932136068774,-71.57245039767093,56,0.037710362328729034,0.09722184551264902
India,factor_4,0.05714939620847518,0.00097408894886537,58.66958687401541,-91.94876985035415,56,-0.15177659046149547,0.27025427356859166
Kenya,factor_1,4.137188637762328,0.0012365007422538744,3345.8844757514053,-65.18216089013247,56,1.3168044131726595,1.801311913305046
Kenya,factor_2,4.255815842953152,0.002323933232086953,1831.2986725230987,-61.985578282467195,56,-0.3146115206559582,1.6251890401958609
Kenya,factor_3,0.008257239657560462,0.0022955129000685266,3.5971218708089,-74.33708026378788,56,0.1338421221092325,0.14025692849869667
Kenya,factor_4,0.06575060471185512,0.025359563721956493,2.592734064069398,-18.956420402524284,56,-1.4466017205130322,0.6661088350893362
North Korea,factor_1,0.00033546262790251185,0.00033546262790251185,1.0,-130.70768697920747,56,0.032976949855999665,0.017759009189978074
North Korea,factor_2,0.00033546262790251185,0.0010387852907493928,0.32293740669017834,-93.67354813088967,56,0.1952163272989304,0.046547683218366276
North Korea,factor_3,0.00033546262790251185,0.0010466123183964936,0.3205223386023886,-92.99713505283891,56,-0.0008661009917957568,0.03325093755337116
North Korea,factor_4,0.017801608833543585,0.001362927855197672,13.061299441239854,-86.16987032776817,56,-0.30497364557856155,0.20890196751133114
South Korea,factor_1,0.591033904850071,0.019044764763077492,31.033930437194034,-23.283166881281804,56,1.3425583611530016,1.1070008414589347
South Korea,factor_2,0.06493896705769048,0.004370565947128723,14.858251275295967,-59.61907495231082,56,-0.021222320325502565,0.4398744116941176
South Korea,factor_3,0.00033546262790251185,0.05493209222856249,0.006106860567165594,-1.2621857903976896,56,-0.3295204090251342,0.11883794974579713
South Korea,factor_4,0.22877508332007665,0.012131749732569063,18.857550506989433,-34.777019385601356,56,0.8984944104318116,0.9579649420901134
Lebanon,factor_1,0.00033546262790251185,0.001436514085431207,0.23352547065475798,-85.67376445101968,56,-0.03502698993775042,0.04544117797992458
Lebanon,factor_2,2.009489833331833,0.002489201942196085,807.282767728749,-64.55475854027246,56,0.5903905048611543,1.2242064130287296
Lebanon,factor_3,0.009082283367365067,0.028968638534591203,0.3135212363024928,-16.054796970984903,56,0.2846354594017344,0.35738526131834364
Lebanon,factor_4,0.2755160479992653,0.024951233296136875,11.042181551880349,-18.400476396900768,56,-1.491031141225562,0.9082441036986886
Nigeria,factor_1,0.1852474786128509,0.010168770063700776,18.217294466527918,-38.48437979493556,56,0.6061559740825314,0.28272811703792416
Nigeria,factor_2,0.00033546262790251185,0.008881678797846064,0.03777018236505765,-43.722513823934506,56,0.4322279895936392,0.16947096229820663
Nigeria,factor_3,3.0670795159197874,0.2032856415722946,15.087536395574894,31.875851029801424,56,1.804736726124181,2.298131751468456
Nigeria,factor_4,0.07521205159920663,0.0096941490016749,7.7584996461486115,-40.79793320495307,56,-0.10513530844167673,0.43710084072201333
Philippines,factor_1,1.0688160150262134,0.04408811831113024,24.242722437904227,-3.9277087226901126,56,1.8288929027384604,1.1834990892555088
Philippines,factor_2,0.14749229685143356,0.009432000575960501,15.637435098058589,-41.580977360034474,56,0.5529726302653989,0.5509355800742529
Philippines,factor_3,0.21730237091088672,0.08459728600593343,2.5686683482451875,9.641183841551939,56,0.5627621128452341,0.6217290449720025
Philippines,factor_4,0.41815017259666054,0.05756723288573822,7.263683724847813,0.8889423687830853,56,-0.13509841916559012,0.8479921242981925
Tanzania,factor_1,0.00033546262790251185,0.0018349187779299805,0.18282151337562524,-79.92367190417613,56,1.0721757087997266,0.10840588497513819
Tanzania,factor_2,0.5421105005300947,0.0031625640688409747,171.4148674081309,-64.0101030406689,56,2.3548827020366763,1.5041508275950681
Tanzania,factor_3,0.0064404136212067,0.003436776724293938,1.873969168750652,-65.25116594147079,56,0.7025824452894166,0.1751290967504885
Tanzania,factor_4,0.007709529591346387,0.0022193311167056726,3.4738077312186957,-75.5729289818303,56,0.11396024555912838,0.12699363155726776
Taiwan,factor_1,0.00033546262790251185,0.008891858493514723,0.0377269418026818,-43.61425734400535,56,1.388708739316955,0.19998169726605597
Taiwan,factor_2,0.00033546262790251185,0.004661286316719025,0.07196782285166221,-59.01679040405536,56,0.2680100096798636,0.3157056890098351
Taiwan,factor_3,0.00033546262790251185,0.018593488209002723,0.018041941572861257,-26.611506403906542,56,0.36272242343108463,0.25952345362786416
Taiwan,factor_4,0.00033546262790251185,0.11309678567365042,0.0029661552793420263,15.48944505441176,56,0.2191751073053154,1.2464244651729763
Thailand,factor_1,0.28405974431108133,0.03591596561036344,7.909010365827858,-9.794970331810173,56,1.058394770539124,0.3808826606570372
Thailand,factor_2,0.00033546262790251185,0.010631642107237086,0.031553228045003365,-39.76910674790716,56,0.0895769864638595,0.19387091062542125
Thailand,factor_3,0.00033546262790251185,0.2108538588390808,0.001590972201075674,30.21920786991631,56,0.9945583341435006,0.625642794045839
Thailand,factor_4,0.07839941957207866,0.05472746690891313,1.4325424508056341,-1.086423181158377,56,1.486417931695658,0.40715381998859523
Uganda,factor_1,7.38905609893065,0.0032650575939704948,2263.070676785563,-44.260644953943356,56,2.5464106632270562,2.423436030685861
Uganda,factor_2,0.00033546262790251185,0.008991688268061956,0.03730808029611736,-43.77029470996639,56,-0.3309662664399914,0.2825364713832297
Uganda,factor_3,0.00033546262790251185,0.15928137950077892,0.002106100719079165,23.571006837113814,56,1.9133881897788068,0.26690083041591917
Uganda,factor_4,7.38905609893065,0.06409973716796143,115.27435876326614,7.860075093302513,56,-0.43358501421158024,3.034804437103566
Venezuela,factor_1,3.5131596759815227,0.0036637857045811292,958.8878715228168,-49.60627341579951,56,-1.0162558362897651,2.3795315363545253
Venezuela,factor_2,0.23578850452291836,0.0042759298500381305,55.14321160362715,-58.83204105617529,56,-1.1453940233121118,0.7773439291836912
Venezuela,factor_3,0.00033546262790251185,0.012786952656956192,0.026234759516374516,-35.268201483900484,56,0.6225762224694548,0.14544715531378297
Venezuela,factor_4,0.02501575267883115,0.0895073268163426,0.27948273698487525,10.148534657502152,56,1.1983342089482378,0.8425792272443915
Benin,factor_1,7.38905609893065,0.0018535567886831333,3986.4201323878697,-52.03133214099841,56,1.0448038046299786,3.0062700407541776
Benin,factor_2,7.38905609893065,0.003980731542395744,1856.2055793603345,-44.443634313907815,56,4.1183223838517335,3.263298329602484
Benin,factor_3,2.9477148184484148,0.07926965057743784,37.18591916295654,11.391958611410288,56,0.6353173951224541,1.6548878633291924
Benin,factor_4,7.38905609893065,0.013397235156360566,551.5358962272578,-21.22432302305772,56,-0.5552636713826925,2.1994171310601742
Bhutan,factor_1,0.00033546262790251185,0.004728251793998001,0.0709485540360488,-58.16720234642061,56,0.27516436042151177,0.09137581994528465
Bhutan,factor_2,0.00033546262790251185,0.000964988644274518,0.3476337570321502,-95.38150618703112,56,-0.03375505935259273,0.13864139094858238
Bhutan,factor_3,0.00033546262790251185,0.10117525140097222,0.0033156589507549105,12.906906149404806,56,0.2835386738069201,0.2753298482851129
Bhutan,factor_4,0.00033546262790251185,0.021321310670581933,0.01573367759071989,-23.480689480444173,56,-0.49327751105566614,0.3322031423582925
Burkina Faso,factor_1,0.8632495990127949,0.001894731854101185,455.60515444139173,-69.52649351882373,56,0.4150689270959352,1.0650053520374752
Burkina Faso,factor_2,0.06044060658872733,0.0075521394987285,8.003110456169843,-47.12932782585574,56,2.1643851056982113,0.36222014752950504
Burkina Faso,factor_3,0.00033546262790251185,0.1942539808193746,0.0017269279449899095,28.217984631464528,56,2.698319751281097,0.8959925112941578
Burkina Faso,factor_4,0.00033546262790251185,0.034375041128213726,0.009758901135602625,-12.298084947292308,56,-0.43480790788306545,0.30330165509625734
Cambodia,factor_1,1.52172113056537,0.06492624655420477,23.43768832062293,5.127676093192605,56,2.3235925325594153,1.117596436148279
Cambodia,factor_2,7.38905609893065,0.020706024857443044,356.8553669669995,-15.523326155267712,56,4.528209296951902,3.1005124762330363
Cambodia,factor_3,0.27329609745370687,0.17358250393173025,1.5744449542057177,26.219077861023013,56,-0.6194575288254286,0.8326468271532443
Cambodia,factor_4,2.3859313775300395,0.023821886557166667,100.15711273766631,-15.771883558209346,56,-1.3920006433457426,2.033498127515283
Indonesia,factor_1,0.00033546262790251185,0.04176981219730323,0.00803122183834406,-7.763146004887123,56,0.3069113087933601,0.11197866961129942
Indonesia,factor_2,0.00033546262790251185,0.005034538893312772,0.06663224478176083,-56.985717748905145,56,0.413058081571273,0.1181391238242831
Indonesia,factor_3,0.00033546262790251185,0.033641999472738215,0.0099715425111505,-12.815102133550404,56,-0.26559712645855454,0.22390952304596937
Indonesia,factor_4,0.01793032431633401,0.005481208989830119,3.2712352967387455,-54.64262661828991,56,-0.5114669376359778,0.22884182792675956
Mozambique,factor_1,0.7874576555186705,0.006795137142396378,115.88546912549363,-44.771673134731685,56,1.9165153173807188,0.7800300688539548
Mozambique,factor_2,7.38905609893065,0.026110124042288744,282.9958251811869,-10.671353996869355,56,5.316040558979359,4.928457828580373
Mozambique,factor_3,0.00033546262790251185,0.08726108496117188,0.003844355454115439,9.438900831438508,56,0.8367276105802557,0.22140578621218035
Mozambique,factor_4,0.00033546262790251185,0.013815570422232732,0.024281489482523864,-33.72252664510243,56,0.9433955751470444,0.2143606822589685
Nepal,factor_1,2.3704251454303473,0.006983476907080648,339.43337637831075,-40.279147051206174,56,0.771938497610129,1.1158338111894357
Nepal,factor_2,0.00033546262790251185,0.002352439882170613,0.1426019982253396,-74.80603015951709,56,0.5392269554673129,0.1390596284468562
Nepal,factor_3,0.00033546262790251185,0.10992346879002333,0.0030517834962369606,14.869701898643505,56,0.4021955160725086,0.43257017077392795
