country_text_id,year,global_exposure_polyarchy,global_exposure_libdem,pagerank,n_backsliding_neighbors
IRN,1986,-0.008256145895824732,,0.003097270499082906,2
IRQ,1986,-0.008259243166323815,,0.008574220723005337,2
ISL,1986,-0.008259243166323815,,0.008646815370766964,2
ISR,1986,-0.00827671496310902,,0.004367949196301169,2
ITA,1986,-0.008259243166323815,,0.009320674696758782,2
JAM,1986,-0.008252246671247491,,0.006996495076323533,2
JOR,1986,-0.008259243166323815,,0.007827729862138632,2
JPN,1986,-0.008259243166323815,,0.002710534139243623,2
KEN,1986,-0.008259243166323815,,0.0035311595186105996,2
KHM,1986,-0.008259243166323815,,0.0035361821007992614,2
KOR,1986,-0.008140344349956523,,0.0020499795925395374,2
KWT,1986,-0.008273304037558219,,0.007030435617202235,2
LAO,1986,-0.008259243166323815,,0.004708396817265431,2
LBN,1986,-0.008259243166323815,,0.007827729862138632,2
LBR,1986,-0.008100009137406305,,0.0072379104053413475,2
LBY,1986,-0.008259243166323815,,0.009873920325185939,2
LKA,1986,-0.008259243166323815,,0.0018443113966905688,2
LSO,1986,-0.008250933240717347,,0.0020774814016169415,2
LUX,1986,-0.008250287358414574,,0.008955807909241607,2
MAR,1986,-0.008259243166323815,,0.007302492456280146,2
MDG,1986,-0.008256230109745308,,0.0010043521928356212,2
MDV,1986,-0.008254159584127353,,0.0016945273988210803,2
MEX,1986,-0.008252246671247491,,0.006996495076323533,2
MLI,1986,-0.008251710698898478,,0.007532467425336836,2
MLT,1986,-0.008259243166323815,,0.008957594426219694,2
MMR,1986,-0.008259243166323815,,0.005756488232997809,2
MNG,1986,-0.008259243166323815,,0.0020499795925395374,2
MOZ,1986,-0.008259243166323815,,0.007897716558807595,2
MRT,1986,-0.008259243166323815,,0.012613555505914595,2
MUS,1986,-0.008259243166323815,,0.0010043521928356212,2
MWI,1986,-0.008259243166323815,,0.003228128887579428,2
MYS,1986,-0.008259243166323815,,0.004474799142649014,2
NAM,1986,-0.008214026013813222,,0.004521715251059327,2
NER,1986,-0.008259243166323815,,0.008120272489077334,2
NGA,1986,-0.008244802473708198,,0.007220346307808129,2
NIC,1986,-0.007111817973806756,,0.006996495076323533,2
NLD,1986,-0.008259243166323815,,0.008955807909241607,2
NOR,1986,-0.008259243166323815,,0.008646815370766964,2
NPL,1986,-0.008259243166323815,,0.002534486602676028,2
NZL,1986,-0.008257010033387899,,0.002233132935916093,2
OMN,1986,-0.008259243166323815,,0.007030435617202235,2
PAK,1986,-0.008023303972829066,,0.005019982840313799,2
PAN,1986,-0.00826623966140014,,0.006996495076323533,2
PER,1986,-0.008322211622010727,,0.006996495076323533,2
PHL,1986,-0.008239404745131584,,0.006612807064077245,2
PNG,1986,-0.008259243166323815,,0.0051676025006716555,2
POL,1986,-0.008268198974233056,,0.008955807909241607,2
PRK,1986,-0.008259243166323815,,0.0038252264226912172,2
PRT,1986,-0.008259243166323815,,0.008646815370766964,2
PRY,1986,-0.008252246671247491,,0.006996495076323533,2
PSE,1986,-0.008259243166323815,,0.0010043521928356212,2
QAT,1986,-0.008259243166323815,,0.007297383345077471,2
ROU,1986,-0.008259243166323815,,0.009011628791005597,2
RUS,1986,-0.00820153786769743,,0.01923509954212859,2
RWA,1986,-0.008259243166323815,,0.0039208853019817875,2
SAU,1986,-0.008259243166323815,,0.008428602180975015,2
SDN,1986,-0.008121167466306346,,0.011506308334789156,2
SEN,1986,-0.008259243166323815,,0.006839799749807866,2
SGP,1986,-0.008259243166323815,,0.00374873147648511,2
SLB,1986,-0.008252935188341193,,0.0021026593275408644,2
SLE,1986,-0.008246176368950935,,0.006533398686439948,2
SLV,1986,-0.008014365838652492,,0.006996495076323533,2
SOM,1986,-0.008275240221774989,,0.007998527725587005,2
SRB,1986,-0.008259243166323815,,0.009970144255231763,2
STP,1986,-0.008259243166323815,,0.0010043521928356212,2
SUR,1986,-0.00818424202202434,,0.007500114429947474,2
SWE,1986,-0.008250596350953049,,0.008646815370766963,2
SWZ,1986,-0.008259243166323815,,0.002749083809432248,2
SYC,1986,-0.008254221405359637,,0.0010043521928356212,2
SYR,1986,-0.008259243166323815,,0.008641713190254927,2
TCD,1986,-0.008259243166323815,,0.003367133480911547,2
TGO,1986,-0.008252403366574007,,0.006839799749807866,2
THA,1986,-0.008252036579932091,,0.007206586391723819,2
TLS,1986,-0.008259243166323815,,0.0017447487752737395,2
TTO,1986,-0.008259243166323815,,0.006996495076323533,2
TUN,1986,-0.008273865686665093,,0.007311260170638465,2
TUR,1986,-0.008236426752651264,,0.011408206836275789,2
TWN,1986,-0.008257548638924994,,0.0016945273988210803,2
TZA,1986,-0.008203125992646033,,0.007014646709722785,2
UGA,1986,-0.008419754143749559,,0.004223973090151168,1
URY,1986,-0.004383184894040578,,0.006996495076323533,2
USA,1986,-0.008338003683959955,,0.019690129409034925,2
VEN,1986,-0.008266743280753762,,0.007500114429947474,2
VNM,1986,-0.008259243166323815,,0.003602267868495057,2
VUT,1986,-0.008259243166323815,,0.0010043521928356212,2
YEM,1986,-0.008259243166323815,,0.008084791100553232,2
YMD,1986,-0.008259243166323815,,0.008913849484927846,2
ZAF,1986,-0.008251672082322073,,0.007571084001742067,2
ZMB,1986,-0.008259243166323815,,0.007587296513041764,2
ZWE,1986,-0.008291305223384827,,0.004580293865858882,2
ZZB,1986,-0.008257234461938144,,0.0010043521928356212,2
AFG,1987,-0.006191035318657898,,0.00376736832323237,3
AGO,1987,-0.006191035318657898,,0.005045781252350492,3
ALB,1987,-0.006191035318657898,,0.0015500237025505776,3
ARE,1987,-0.006191035318657898,,0.007291739059267466,3
ARG,1987,-0.006219018853270684,,0.006995883653196575,3
AUS,1987,-0.006191035318657898,,0.0033351886005093126,3
AUT,1987,-0.006188017597015255,,0.0030177216426434833,3
BDI,1987,-0.006191035318657898,,0.003638909523563872,3
BEL,1987,-0.006199989512575518,,0.008954193917620356,3
