iso3,year,infant_mortality,inflation_yoy,food_prod_index,ext_debt_gni,work_age_share,youth_bulge_proxy
SOM,2018,85.1,,98.95,67.7767660919484,50.2495828098604,20.099833123944162
SOM,2019,75.0,,99.76,62.3503074480711,50.344165054007,20.1376660216028
SOM,2020,72.9,,100.14,53.4531991684809,50.4301809531276,20.17207238125104
SOM,2021,70.9,,99.82,43.8741204568577,50.5124604176556,20.204984167062243
SOM,2022,89.2,,98.94,40.3125376815559,50.6367383206408,20.25469532825632
SOM,2023,67.3,,98.94,28.3163805466625,50.7567210271581,20.30268841086324
SOM,2024,65.4,,98.94,14.918886594174,50.8151836975781,20.32607347903124
SOM,2025,65.4,,98.94,14.918886594174,50.8151836975781,20.32607347903124
SRB,1960,,,,,66.2073498253459,26.48293993013836
SRB,1961,,,,,66.2009895009055,26.4803958003622
SRB,1962,,,,,66.240433946248,26.496173578499203
SRB,1963,,,,,66.3574932307131,26.542997292285243
SRB,1964,,,,,66.5361190882081,26.61444763528324
SRB,1965,,,,,66.7586101159934,26.703444046397365
SRB,1966,,,,,67.0181803699374,26.80727214797496
SRB,1967,,,,,67.3156645522071,26.92626582088284
SRB,1968,,,,,67.6547772493854,27.061910899754164
SRB,1969,,,,,68.007605227387,27.203042090954803
SRB,1970,,,,,68.3230402607058,27.32921610428232
SRB,1971,,,,,68.5266088865167,27.41064355460668
SRB,1972,,,,,68.6061603381722,27.44246413526888
SRB,1973,,,,,68.6242241601474,27.449689664058965
SRB,1974,,,,,68.6169684208763,27.446787368350524
SRB,1975,,,,,68.5993005158973,27.43972020635892
SRB,1976,,,,,68.5771766261915,27.430870650476603
SRB,1977,,,,,68.5699773713911,27.42799094855644
SRB,1978,,,,,68.6122716004412,27.444908640176482
SRB,1979,,,,,68.7303164227585,27.492126569103405
SRB,1980,,,,,68.9441759403202,27.577670376128083
SRB,1981,,,,,69.2247807557535,27.6899123023014
SRB,1982,,,,,69.532784204746,27.8131136818984
SRB,1983,,,,,69.8185417974877,27.92741671899508
SRB,1984,34.7,,,,69.9833499490988,27.99333997963952
SRB,1985,33.4,,,,70.0010454798981,28.00041819195924
SRB,1986,32.3,,,,69.9281534245519,27.97126136982076
SRB,1987,31.2,,,,69.8077075379642,27.923083015185682
SRB,1988,29.3,,,,69.6635170304405,27.865406812176204
SRB,1989,26.6,,,,69.5223196148237,27.80892784592948
SRB,1990,24.2,,,,69.3906695380105,27.7562678152042
SRB,1991,22.4,,,,69.2199837626907,27.68799350507628
SRB,1992,21.3,,,,68.9953133082059,27.59812532328236
SRB,1993,20.1,,,,68.7578183466416,27.50312733865664
SRB,1994,18.6,,,,68.5228581251738,27.40914325006952
SRB,1995,16.9,82.6605151864663,,,68.2941736300144,27.31766945200576
SRB,1996,15.1,95.6009261208171,,,68.0737523744924,27.22950094979696
SRB,1997,13.4,23.307866135801,,39.0579216204582,67.8748636329936,27.14994545319744
SRB,1998,12.2,30.1596997992844,,51.8571830956774,67.7136726328181,27.08546905312724
SRB,1999,11.5,42.4539054642972,,52.544132325559,67.5989948754681,27.03959795018724
SRB,2000,11.0,71.1206287946541,,157.970759369083,67.531103446434,27.0124413785736
SRB,2001,10.5,95.0052258100006,,91.7185086054589,67.4983242783158,26.999329711326325
SRB,2002,9.9,19.4908321579689,,63.8306322569174,67.4676433220866,26.98705732883464
SRB,2003,9.2,9.87617889729578,,60.7889015734077,67.4382821458567,26.975312858342683
SRB,2004,8.4,11.0263627183464,,54.686746408775,67.4405991349805,26.976239653992202
SRB,2005,7.8,16.1199806482826,,57.6887214065411,67.4780508581026,26.991220343241043
SRB,2006,7.3,11.7240229980834,98.12,60.4717076987933,67.5588624134789,27.023544965391565
SRB,2007,7.1,6.39170644391413,90.94,60.1970046794306,67.6814572358719,27.072582894348763
SRB,2008,6.9,12.410986775178,100.87,57.7769681944698,67.8416651697636,27.13666606790544
SRB,2009,6.7,8.11695092238082,103.41,73.0399499538698,68.0074568900647,27.202982756025882
SRB,2010,6.6,6.14255360247248,100.37,77.138104941376,68.1630051497022,27.26520205988088
SRB,2011,6.4,11.1373976342129,101.27,64.1515087547296,68.2442167761947,27.297686710477883
SRB,2012,6.1,7.33038589596646,82.85,78.6508215754673,68.098876897828,27.239550759131205
SRB,2013,5.9,7.69426362896655,99.44,73.3708700362815,67.7436627284965,27.097465091398604
SRB,2014,5.6,2.08244793880154,98.02,67.8319073531775,67.2902689526134,26.916107581045363
SRB,2015,5.4,1.39235822000187,94.39,76.6569667101022,66.7748162145044,26.70992648580176
SRB,2016,5.2,1.12231397417769,107.59,69.7849323080997,66.2812936644156,26.51251746576624
SRB,2017,5.1,3.13106248590115,90.75,71.731970143462,65.7962638473577,26.31850553894308
SRB,2018,4.9,1.95984076293801,107.67,61.8350318338554,65.2458205597449,26.098328223897962
SRB,2019,4.8,1.84922984511086,107.81,63.4151328334607,64.6822977246048,25.87291908984192
SRB,2020,4.7,1.57553290083415,110.92,71.7394155616814,64.1681331223259,25.66725324893036
SRB,2021,4.6,4.08510285335102,104.24,65.9213320272095,63.8036743847863,25.52146975391452
SRB,2022,4.6,11.9815117344703,98.37,70.4741891397955,63.5677114259477,25.42708457037908
SRB,2023,4.5,12.3719043552519,98.37,65.1823892579672,63.3113501282481,25.32454005129924
SRB,2024,4.6,4.6705297488997,98.37,62.2479849600107,63.0029307254993,25.20117229019972
SRB,2025,4.6,4.6705297488997,98.37,62.2479849600107,63.0029307254993,25.20117229019972
SSA,1960,,,,,53.8423309877748,21.536932395109922
SSA,1961,,,23.4102928180128,,53.7239441181874,21.48957764727496
SSA,1962,,,23.8343590945002,,53.5921587414597,21.436863496583882
SSA,1963,,,25.1333847071599,,53.4336579179917,21.373463167196682
SSA,1964,,,24.2187165647333,,53.2658601669408,21.30634406677632
SSA,1965,,,24.3089143548072,,53.1155335112267,21.246213404490682
SSA,1966,,,24.5954174972423,,52.9765914606877,21.190636584275083
SSA,1967,,,28.0581296994904,,52.8447087065943,21.13788348263772
SSA,1968,,,25.9123498068068,,52.7220490334335,21.088819613373403
SSA,1969,,,28.3990623956472,,52.6017933653727,21.04071734614908
SSA,1970,,,29.6524879812898,,52.481091674319,20.992436669727603
SSA,1971,,,30.4865122726844,,52.3575363663787,20.94301454655148
SSA,1972,,,31.1049779470099,,52.2307567921738,20.892302716869523
SSA,1973,,,31.7845975145201,,52.1105959945576,20.84423839782304
SSA,1974,,,34.8900864700853,,52.0068307436004,20.802732297440162
SSA,1975,,,35.7158129795183,,51.9133532218519,20.76534128874076
SSA,1976,,,36.6621203607792,,51.812502707815,20.725001083126003
SSA,1977,,,39.075749133137,,51.7155633096983,20.68622532387932
SSA,1978,,,39.8234018071285,,51.6417314092943,20.656692563717723
SSA,1979,,,39.2061637798777,,51.569980047216,20.627992018886403
SSA,1980,,,41.5102082792296,,51.5117162361316,20.60468649445264
SSA,1981,,,46.679960882784,,51.4686511005654,20.587460440226163
SSA,1982,,,40.9599332427376,,51.4337734828911,20.573509393156442
SSA,1983,,,42.4976570144307,,51.4111652394532,20.56446609578128
SSA,1984,,,37.8453457965271,,51.3873564532667,20.55494258130668
SSA,1985,,,45.4910426145503,38.6510724688074,51.3758650989842,20.55034603959368
SSA,1986,,,44.5150368692808,43.1221438165788,51.3804777996141,20.55219111984564
SSA,1987,,,40.9363300689101,45.7057499754129,51.4014612140242,20.56058448560968
SSA,1988,,,48.1911135241929,43.3961369327966,51.4479147032501,20.579165881300042
SSA,1989,,,41.3657866091181,43.1576963506471,51.5125389857729,20.60501559430916
SSA,1990,99.1758726009362,,40.4372034258646,42.2970784254004,51.5920162255272,20.636806490210883
SSA,1991,100.334243193329,,49.0991523056164,41.3784162416152,51.6747637371875,20.669905494875
SSA,1992,99.9864778498341,,54.6146265202052,45.730071049514,51.740796330531,20.696318532212402
SSA,1993,99.44860556535,,51.0621821963718,48.4345986526329,51.8448702182616,20.73794808730464
SSA,1994,98.322101728675,,59.9715675764789,58.1583919876847,51.9878854359678,20.79515417438712
SSA,1995,96.0251023173526,,61.3300789689313,53.9729759864602,52.0798373206552,20.831934928262083
SSA,1996,97.4018667849778,,67.1350132524741,52.2230600017297,52.0842823580122,20.833712943204883
SSA,1997,95.8705837597198,,68.7128877373048,49.0817306032238,52.1176891667388,20.84707566669552
SSA,1998,95.8177361256001,,73.6159682895045,52.3497516104654,52.2710201923842,20.90840807695368
SSA,1999,91.1779043179152,,75.1249404416841,49.8948211087971,52.4521804227511,20.98087216910044
SSA,2000,88.5100223547793,,78.8717826573691,47.5517606483276,52.6049798154841,21.041991926193642
SSA,2001,86.4302932523357,,87.3643114826922,49.3886999976136,52.7366232440912,21.09464929763648
SSA,2002,82.3394053049045,,89.6019001870514,51.9907676329108,52.8489324550087,21.139572982003482
SSA,2003,79.1987979007974,,98.4690603316939,43.659988200475,52.94590745538,21.178362982152002
SSA,2004,76.2891885399584,,96.9910847575036,37.4468917156795,53.0278948602611,21.211157944104443
SSA,2005,71.8533708707227,,100.632471320629,29.8465583588172,53.0865442381917,21.234617695276683
SSA,2006,68.9112320612318,,101.913333469788,22.7265365168934,53.1234301876023,21.249372075040924
SSA,2007,66.3938371728742,,100.997014676497,22.9258312943298,53.152669489719,21.2610677958876
SSA,2008,64.0574465900008,,101.788356938098,21.6913601831422,53.1947744224423,21.277909768976922
SSA,2009,63.0833486151961,,103.994743233996,25.5664791920741,53.2447499336186,21.297899973447443
SSA,2010,60.7012655470105,,99.632697241848,25.3261406353079,53.2990316177144,21.319612647085762
SSA,2011,60.9290004280403,,106.547247837793,25.1116229575522,53.3692918136285,21.347716725451402
