country_text_id,year,years_since_break_poly,years_since_break_libdem,break_in_last_3yr_poly,break_in_last_3yr_libdem
AGO,2025,14,22,0,0
ALB,1914,99,99,0,0
ALB,1915,99,99,0,0
ALB,1916,99,99,0,0
ALB,1917,99,99,0,0
ALB,1918,99,99,0,0
ALB,1919,99,99,0,0
ALB,1920,99,99,0,0
ALB,1921,99,99,0,0
ALB,1922,99,99,0,0
ALB,1923,99,99,0,0
ALB,1924,99,99,0,0
ALB,1925,99,99,0,0
ALB,1926,99,99,0,0
ALB,1927,99,99,0,0
ALB,1928,99,99,0,0
ALB,1929,99,99,0,0
ALB,1930,99,99,0,0
ALB,1931,99,99,0,0
ALB,1932,99,99,0,0
ALB,1933,99,99,0,0
ALB,1934,99,99,0,0
ALB,1935,99,99,0,0
ALB,1936,99,99,0,0
ALB,1937,99,99,0,0
ALB,1938,99,99,0,0
ALB,1939,99,0,0,1
ALB,1940,99,1,0,1
ALB,1941,99,2,0,1
ALB,1942,99,3,0,0
ALB,1943,99,4,0,0
ALB,1944,99,5,0,0
ALB,1945,99,6,0,0
ALB,1946,99,7,0,0
ALB,1947,99,8,0,0
ALB,1948,99,9,0,0
ALB,1949,99,10,0,0
ALB,1950,99,11,0,0
ALB,1951,99,12,0,0
ALB,1952,99,13,0,0
ALB,1953,99,14,0,0
ALB,1954,99,15,0,0
ALB,1955,99,16,0,0
ALB,1956,99,17,0,0
ALB,1957,99,18,0,0
ALB,1958,99,19,0,0
ALB,1959,99,20,0,0
ALB,1960,99,21,0,0
ALB,1961,99,22,0,0
ALB,1962,99,23,0,0
ALB,1963,99,24,0,0
ALB,1964,99,25,0,0
ALB,1965,99,26,0,0
ALB,1966,99,27,0,0
ALB,1967,99,28,0,0
ALB,1968,99,29,0,0
ALB,1969,99,30,0,0
ALB,1970,99,31,0,0
ALB,1971,99,32,0,0
ALB,1972,99,33,0,0
ALB,1973,99,34,0,0
ALB,1974,99,35,0,0
ALB,1975,99,36,0,0
ALB,1976,99,37,0,0
ALB,1977,99,38,0,0
ALB,1978,99,39,0,0
ALB,1979,99,40,0,0
ALB,1980,99,41,0,0
ALB,1981,99,42,0,0
ALB,1982,99,43,0,0
ALB,1983,99,44,0,0
ALB,1984,99,45,0,0
ALB,1985,99,46,0,0
ALB,1986,99,47,0,0
ALB,1987,99,48,0,0
ALB,1988,99,49,0,0
ALB,1989,99,50,0,0
ALB,1990,99,51,0,0
ALB,1991,0,0,1,1
ALB,1992,1,1,1,1
ALB,1993,2,2,1,1
ALB,1994,3,3,0,0
ALB,1995,4,4,0,0
ALB,1996,5,5,0,0
ALB,1997,6,6,0,0
ALB,1998,7,7,0,0
ALB,1999,8,8,0,0
ALB,2000,9,9,0,0
ALB,2001,10,10,0,0
ALB,2002,0,0,1,1
ALB,2003,1,1,1,1
ALB,2004,2,2,1,1
ALB,2005,3,3,0,0
ALB,2006,4,4,0,0
ALB,2007,5,5,0,0
ALB,2008,6,6,0,0
ALB,2009,7,7,0,0
ALB,2010,8,8,0,0
ALB,2011,9,9,0,0
ALB,2012,10,10,0,0
ALB,2013,11,11,0,0
ALB,2014,12,12,0,0
ALB,2015,13,13,0,0
ALB,2016,14,14,0,0
ALB,2017,15,15,0,0
ALB,2018,16,16,0,0
ALB,2019,17,17,0,0
ALB,2020,18,18,0,0
ALB,2021,19,19,0,0
ALB,2022,20,20,0,0
ALB,2023,21,21,0,0
ALB,2024,22,22,0,0
ALB,2025,23,23,0,0
ARE,1971,99,99,0,0
ARE,1972,99,99,0,0
ARE,1973,99,99,0,0
ARE,1974,99,99,0,0
ARE,1975,99,99,0,0
ARE,1976,99,99,0,0
ARE,1977,99,99,0,0
ARE,1978,99,99,0,0
ARE,1979,99,99,0,0
ARE,1980,99,99,0,0
ARE,1981,99,99,0,0
ARE,1982,99,99,0,0
ARE,1983,99,99,0,0
ARE,1984,99,99,0,0
ARE,1985,99,99,0,0
ARE,1986,99,99,0,0
ARE,1987,99,99,0,0
ARE,1988,99,99,0,0
ARE,1989,99,99,0,0
ARE,1990,99,99,0,0
ARE,1991,99,99,0,0
ARE,1992,99,99,0,0
ARE,1993,99,99,0,0
ARE,1994,99,99,0,0
ARE,1995,99,99,0,0
ARE,1996,99,99,0,0
ARE,1997,99,99,0,0
ARE,1998,99,99,0,0
ARE,1999,99,99,0,0
ARE,2000,99,99,0,0
ARE,2001,99,99,0,0
ARE,2002,99,99,0,0
ARE,2003,99,99,0,0
ARE,2004,99,99,0,0
ARE,2005,99,99,0,0
ARE,2006,99,99,0,0
ARE,2007,0,99,1,0
ARE,2008,1,99,1,0
ARE,2009,2,99,1,0
ARE,2010,3,99,0,0
ARE,2011,4,99,0,0
ARE,2012,5,99,0,0
ARE,2013,6,99,0,0
ARE,2014,7,99,0,0
ARE,2015,8,99,0,0
ARE,2016,9,99,0,0
ARE,2017,10,99,0,0
ARE,2018,11,99,0,0
ARE,2019,12,99,0,0
ARE,2020,13,99,0,0
ARE,2021,14,99,0,0
ARE,2022,15,99,0,0
ARE,2023,16,99,0,0
ARE,2024,17,99,0,0
ARE,2025,18,99,0,0
ARG,1789,99,99,0,0
ARG,1790,99,99,0,0
ARG,1791,99,99,0,0
ARG,1792,99,99,0,0
ARG,1793,99,99,0,0
ARG,1794,99,99,0,0
ARG,1795,99,99,0,0
ARG,1796,99,99,0,0
ARG,1797,99,99,0,0
ARG,1798,99,99,0,0
ARG,1799,99,99,0,0
ARG,1800,99,99,0,0
ARG,1801,99,99,0,0
ARG,1802,99,99,0,0
ARG,1803,99,99,0,0
ARG,1804,99,99,0,0
ARG,1805,99,99,0,0
ARG,1806,99,99,0,0
ARG,1807,99,99,0,0
ARG,1808,99,99,0,0
ARG,1809,99,99,0,0
ARG,1810,99,99,0,0
ARG,1811,99,99,0,0
ARG,1812,99,99,0,0
ARG,1813,99,99,0,0
ARG,1814,99,99,0,0
ARG,1815,99,99,0,0
ARG,1816,99,99,0,0
ARG,1817,99,99,0,0
ARG,1818,99,99,0,0
ARG,1819,99,99,0,0
ARG,1820,99,99,0,0
ARG,1821,99,99,0,0
ARG,1822,99,99,0,0
ARG,1823,99,99,0,0
ARG,1824,99,99,0,0
ARG,1825,99,99,0,0
ARG,1826,99,99,0,0
ARG,1827,99,99,0,0
ARG,1828,99,99,0,0
ARG,1829,99,99,0,0
ARG,1830,99,99,0,0
ARG,1831,99,99,0,0
ARG,1832,99,99,0,0
ARG,1833,99,99,0,0
ARG,1834,99,99,0,0
ARG,1835,99,99,0,0
ARG,1836,99,99,0,0
ARG,1837,99,99,0,0
ARG,1838,99,99,0,0
ARG,1839,99,99,0,0
ARG,1840,99,99,0,0
ARG,1841,99,99,0,0
ARG,1842,99,99,0,0
ARG,1843,99,99,0,0
ARG,1844,99,99,0,0
ARG,1845,99,99,0,0
ARG,1846,99,99,0,0
ARG,1847,99,99,0,0
ARG,1848,99,99,0,0
ARG,1849,99,99,0,0
ARG,1850,99,99,0,0
ARG,1851,99,99,0,0
ARG,1852,99,99,0,0
ARG,1853,99,0,0,1
ARG,1854,99,1,0,1
ARG,1855,0,2,1,1
ARG,1856,1,3,1,0
ARG,1857,2,4,1,0
ARG,1858,3,5,0,0
ARG,1859,4,6,0,0
ARG,1860,5,7,0,0
ARG,1861,6,8,0,0
ARG,1862,7,0,0,1
ARG,1863,8,1,0,1
ARG,1864,9,2,0,1
ARG,1865,10,3,0,0
ARG,1866,11,4,0,0
ARG,1867,12,5,0,0
ARG,1868,13,6,0,0
ARG,1869,14,7,0,0
ARG,1870,15,8,0,0
ARG,1871,16,9,0,0
ARG,1872,17,10,0,0
ARG,1873,18,11,0,0
ARG,1874,19,12,0,0
ARG,1875,20,13,0,0
ARG,1876,21,14,0,0
ARG,1877,22,15,0,0
ARG,1878,23,16,0,0
ARG,1879,24,17,0,0
ARG,1880,25,18,0,0
ARG,1881,26,19,0,0
ARG,1882,27,20,0,0
ARG,1883,28,21,0,0
ARG,1884,29,22,0,0
ARG,1885,30,23,0,0
ARG,1886,31,24,0,0
ARG,1887,32,25,0,0
ARG,1888,33,26,0,0
ARG,1889,34,27,0,0
ARG,1890,35,28,0,0
ARG,1891,36,29,0,0
ARG,1892,37,30,0,0
ARG,1893,38,31,0,0
ARG,1894,39,32,0,0
ARG,1895,40,33,0,0
ARG,1896,41,34,0,0
ARG,1897,42,35,0,0
ARG,1898,43,36,0,0
ARG,1899,44,37,0,0
ARG,1900,45,38,0,0
ARG,1901,46,39,0,0
ARG,1902,47,40,0,0
ARG,1903,48,41,0,0
ARG,1904,49,42,0,0
ARG,1905,50,43,0,0
ARG,1906,51,44,0,0
ARG,1907,52,45,0,0
ARG,1908,53,46,0,0
ARG,1909,54,47,0,0
