indicator,factor_1,factor_2,factor_3,factor_4
v2merange,0.950208174757793,0.00461743026220357,0.03174862265361924,-0.009238953499131487
v2mefemjrn,0.42606985412744514,0.2394733552356103,0.40498806166559254,0.15749253303416888
v2meharjrn,0.8931141864275085,0.2852971426704455,0.017096356505324605,0.04350910861964783
v2meslfcen,0.9371218043167056,0.06043726996002052,0.013061502189050049,0.0234328324009217
v2mebias,0.9594505360465448,0.012058173450649967,0.024627545855660925,-0.0017915723170419326
v2mecorrpt,0.883553664650629,0.22815996542771674,-0.08868306221460466,-0.019547026361293955
v2pepwrses,0.45280811605775584,0.5171464306813509,0.08978466246817948,-0.08181442669560615
v2pepwrsoc,0.6524058272626867,0.40585315470629846,0.075555172135084,0.05753471022082403
v2pepwrgen,0.6021706136931667,0.4026568833287278,0.25982630825897535,0.017032916851388552
v2pepwrort,0.5816112168243761,0.4380833145730104,-0.003234528782617749,0.028786323773299996
v2peedueq,0.33672449073257593,0.7784274100208801,0.18359849594000416,0.060418110279415106
v2pehealth,0.4329796593239651,0.7608486369238199,0.1368482496181458,0.009471995559217447
v2peapsecon,0.427324093309973,0.7595429084332678,0.1297409019607546,0.05434200914094178
v2peasjsoecon,0.4686018219121646,0.6820760624047035,0.15918051673534722,0.09912860713343698
v2peasbecon,0.47046940068102205,0.6862644680600405,0.12658250554912368,0.06919808004947216
v2clgencl,0.5404209780385858,0.46822979187794045,0.3849965058923602,0.13187844668230714
v2peapsgen,0.4753771242252208,0.6792317768054932,0.19577389610459028,0.09305131444522217
v2peasjgen,0.5288902724745201,0.5638561447333067,0.26725688452472557,0.11636858286684748
v2peasbgen,0.49277780819435224,0.6291371199853772,0.20693846602402421,0.11566206519677052
v2pepwrgeo,0.5150510104055943,0.45736489396641666,-0.01900387159694656,-0.09909068994629368
v2clgeocl,0.5230952780369453,0.5944764595956802,0.18799851808272205,0.044409739788188365
v2peapsgeo,0.4715718073127416,0.7294148062313477,0.16678858357017973,0.07376476889084807
v2peasjgeo,0.47654098430631503,0.5700870285042173,0.17323333671176167,0.07607799269961324
v2peasbegeo,0.493396005338259,0.6710493118867431,0.11257895367800605,0.04194874107546498
v2clpolcl,0.8510705633797333,0.2469959511152497,0.005245998286340561,0.052165010186539656
v2peapspol,0.6587524296928573,0.4665957617744619,0.07933853092080376,0.1813132825146834
v2peasjpol,0.7060783814839079,0.46038938421752024,0.03150311396847631,0.08335138389164264
v2peasbepol,0.6550356349804458,0.5645178490377376,0.004197059564946259,0.052613688166942965
v2peapssoc,0.49934941392343857,0.7013783311349528,0.16038804674399793,0.08218702337242392
v2peasjsoc,0.5995966054617422,0.5189735849791295,0.16980264131427897,0.1517306871459283
v2peasbsoc,0.6213960704303174,0.5643536913121157,0.10268377347743388,0.13574745487766804
v2exl_legitideol,-0.6949710623770218,-0.012521014161581245,0.14111104188678542,-0.15798986902402037
v2exl_legitlead,-0.6652303495133355,-0.24630845747542274,0.15393129030373193,0.044680738811479645
v2exl_legitperf,0.2081428551238746,0.2829571130280857,0.32101963646736037,0.10796390291810758
v2exl_legitratio,0.5989733475150215,0.21745958574279012,0.20349902939460116,0.09946398112023311
v2cacamps,-0.4075008413742634,-0.39898055789403863,0.03871003347441414,-0.0881553568904467
v2caviol,-0.1866604586923211,-0.607964289229348,-0.1399808690991603,-0.10321118240164812
v2caassemb,0.9188944588123322,0.2073841615393592,0.029669110723893454,-0.005292021789637412
v2cagenmob,0.21569468721161694,-0.3203128980080081,0.1382098829656817,0.019309505472335755
v2caconmob,-0.21413371747945936,0.03446138193188773,-0.16372068388839608,-0.014899811207066026
v2cademmob,0.24387509056970336,-0.5091814861411826,0.1260598262646183,0.003428641105330456
v2caautmob,-0.6684913935872147,-0.24772412369604252,0.1352821565371996,0.02670238484793557
v2castate,-0.6243644119006542,-0.21325436577398624,0.27800213841462584,-0.06612509594006458
v2catrauni,0.7152512564547109,0.05269780395327614,-0.0209225864553238,-0.08614031343527573
v2capolit,0.7392888293839275,-0.029974837062303084,0.03783614311020015,0.005099557375186501
v2canonpol,0.5988535167796978,0.07172724648670428,-0.05191467418720684,0.06414409394879106
v2cauni,0.18359381668361097,-0.0067258355521736535,0.15635587769580533,-0.01861027650671907
v2caprotac,-0.12334073893767028,-0.08915521729549616,-0.34145104525706016,0.06145773388340149
v2cafres,0.9114990425577562,0.11686563106029232,0.034144196519540516,0.025227732712897348
v2cafexch,0.9031469630650147,0.11602875301810495,0.015048120602608583,0.04769100760132562
v2cainsaut,0.872443760971647,0.048631884893391986,-0.005884156544166012,0.009427026124229389
v2casurv,0.8698191811543468,0.26175343868952394,0.028912151661713854,0.0035329907999552893
v2cacritic,0.8726874073452848,-0.009237421260378798,0.04152391949917587,0.03867218181592975
v2caacadfree,0.38860353610857773,0.04453636945514472,0.4380907274685535,0.11456803695962692
v2x_regime,0.8447958645679321,0.33475951106372,0.14434848333496203,0.013913936391524225
v2x_regime_amb,0.8578619747231901,0.34442924933698815,0.1481012448030387,0.013056917813971329
v2x_accountability,0.9775105442373313,0.22462830787596172,0.07395345536463614,-0.023981083624593343
v2x_veracc,0.862673873462311,0.2788567867079506,0.2853451849121593,-0.044116611214806215
v2x_diagacc,0.9906829060961383,0.13552821465887843,0.04902988204203343,0.016487754270308283
