country_text_id,year,nscm_resid_full_0,nscm_resid_domestic_0,nscm_resid_truedom_0,nscm_resid_full_1,nscm_resid_domestic_1,nscm_resid_truedom_1,nscm_resid_full_2,nscm_resid_domestic_2,nscm_resid_truedom_2,nscm_resid_full_3,nscm_resid_domestic_3,nscm_resid_truedom_3,nscm_resid_full_4,nscm_resid_domestic_4,nscm_resid_truedom_4
ECU,1990,-1.0529471e-05,-0.0013882047,-6.977336e-06,0.01837933,0.1001938,0.0018597841,-0.018364564,-0.098675296,-0.0018526374,-4.2570837e-06,-0.00012958769,-1.562145e-07,-1.2682841e-08,-7.385761e-07,-5.084926e-09
EGY,1990,-4.2597556e-08,-1.5450318e-05,-1.5940428e-09,-1.1155555e-05,-0.00032792668,-3.265794e-06,-0.031299677,-0.17709327,-0.15101373,0.042310596,0.20399368,0.15191042,-0.01099969,-0.026557045,-0.0008934534
ESP,1990,0.00067317486,0.04330325,0.0086862445,-0.00066663546,-0.042958517,-0.008676584,-5.338209e-06,-0.0003260721,-8.845447e-06,-1.8492666e-07,-3.5434134e-06,-1.2151996e-07,-1.0509272e-06,-1.5212639e-05,-6.858834e-07
ETH,1990,-2.986537e-10,-1.0787743e-06,-1.31132475e-11,-1.3555687e-09,-5.1482743e-07,-2.0766959e-10,-0.00010292477,-0.007630508,-0.00054012623,0.09340304,0.05721742,0.1257776,-0.09330008,-0.049585287,-0.1252375
FIN,1990,8.034706e-05,0.004601896,0.00051862,-7.294537e-05,-0.004345341,-0.00051784684,-3.7648388e-06,-0.00022250794,-3.1679497e-07,-4.5464864e-07,-4.981862e-06,-4.0177426e-08,-3.0846572e-06,-2.9062256e-05,-3.5497814e-07
FJI,1990,-3.0971514e-05,-0.013574577,-5.6780245e-06,-0.00012923309,-0.0023065605,-0.0007537747,0.15507919,0.2694527,0.20916492,-0.15432048,-0.24923627,-0.20777929,-0.0005984169,-0.004335189,-0.00062615843
FRA,1990,0.0011946559,0.020704806,0.07168269,-0.0011221209,-0.019395338,-0.07161912,-5.520538e-05,-0.0012138587,-6.019634e-05,-3.2723294e-06,-2.1244154e-05,-8.308927e-07,-1.4072094e-05,-7.431348e-05,-2.5349389e-06
GAB,1990,-2.7802411e-08,-1.2295041e-05,-3.4257643e-09,-0.0002425319,-0.0071243765,-5.050886e-05,-0.6302402,-0.6251105,-0.55754364,0.6304931,0.632313,0.5577316,-1.042406e-05,-6.5877815e-05,-0.00013751125
GBR,1990,0.00010728836,0.0032413602,0.00089269876,-7.200342e-05,-0.0024099897,-0.00088538154,-2.5662372e-05,-0.000773977,-4.930092e-06,-2.522454e-06,-1.659035e-05,-5.500471e-07,-7.1332965e-06,-4.0798113e-05,-1.9134154e-06
GEO,1990,-2.4567435e-06,-0.003922759,-7.728808e-06,-0.00090057973,-0.033625517,-0.008302816,-0.5097164,-0.7630809,-0.92905194,-0.48787066,-0.18653058,-0.062356982,-0.0015099595,-0.012840219,-0.00028056567
GHA,1990,-1.5518818e-06,-0.000316379,-4.1769974e-07,-3.3526645e-05,-0.0002861811,-9.106009e-05,-0.086509585,-0.09792837,-0.2067582,0.09126085,0.120363,0.20928562,-0.004716126,-0.021832105,-0.00243593
GIN,1990,-2.139219e-09,-7.043254e-06,-9.055837e-11,-8.633844e-08,-1.0365213e-05,-1.1536529e-07,-0.0021380652,-0.029027384,-0.014792211,0.004573941,0.034756005,0.01493603,-0.0024357627,-0.005711196,-0.00014371668
GMB,1990,-1.2531802e-05,-0.0036309992,-2.9203304e-06,-0.00978229,-0.06361415,-0.021834752,0.012650847,0.109455585,0.028874874,-0.0028459483,-0.041779816,-0.007026675,-1.0024896e-05,-0.00043066515,-1.0554182e-05
GNB,1990,-2.937803e-09,-1.0511494e-05,-2.0448404e-10,-2.5386106e-08,-4.841274e-06,-3.296866e-08,-0.0009404443,-0.020821996,-0.006745702,0.0090120435,0.039471567,0.009169817,-0.008071548,-0.018634211,-0.0024241759
GNQ,1990,-1.1112479e-11,-9.6181495e-08,-4.3866167e-13,-4.3366832e-10,-7.093782e-07,-1.0183552e-10,-2.6673977e-05,-0.0049381875,-0.00059301127,0.047566116,0.08138883,0.009668767,-0.047539502,-0.07644989,-0.009075733
GRC,1990,-0.22358698,0.045451403,0.015127301,0.22640586,-0.031190604,-0.014633328,-0.0027653633,-0.014185723,-0.00048865523,-1.97986e-05,-3.9510585e-05,-1.035132e-06,-3.368867e-05,-3.5685036e-05,-4.278294e-06
GTM,1990,-1.7252942e-08,-5.726677e-05,-1.9681345e-08,-0.0026860486,-0.052589178,-0.009198843,0.0033437014,0.059724033,0.011255026,-0.00065749994,-0.0070719,-0.0020558087,-8.4706805e-08,-5.723802e-06,-2.9091203e-07
GUY,1990,-2.1137541e-06,-0.00070311304,-2.7435133e-06,-0.004520017,-0.03475063,-0.012426599,0.009355903,0.08772802,0.02501762,-0.004820742,-0.051043812,-0.012525408,-1.2959477e-05,-0.0012304323,-6.275668e-05
HRV,1990,-1.8034124e-06,-0.0041356212,-7.728808e-06,-0.0005524466,-0.032607354,-0.008302816,-0.38480434,-0.76054484,-0.92905194,-0.61270374,-0.189326,-0.062356982,-0.0019375859,-0.0133861555,-0.00028056567
HTI,1990,-7.815425e-08,-0.0004494085,-3.0153522e-08,-0.00054349314,-0.010001972,-0.003426444,0.0046272874,0.04265064,0.012340963,-0.0040832674,-0.032172136,-0.008913996,-3.9418444e-07,-2.7209097e-05,-4.2676993e-07
HUN,1990,-0.98548037,-0.7807436,-0.6677585,-0.014400861,-0.21484518,-0.29129097,0.9415229,0.93730587,0.90645254,-3.8604708e-07,-4.267417e-05,-0.0034269546,0.05835874,0.05832559,0.05602383
IDN,1990,-1.1902311e-09,-9.537182e-07,-5.7880103e-11,-1.1078812e-07,-1.270629e-05,-1.3186881e-08,-0.0013681327,-0.036510345,-0.009375707,0.031405985,0.11033654,0.02471006,-0.03003779,-0.07381259,-0.0153343845
IND,1990,-0.0013316231,-0.021943163,-0.00071800785,0.111965775,0.12154269,0.015208304,-0.1105987,-0.09951593,-0.014486125,-3.4721565e-05,-8.221824e-05,-3.6142835e-06,-7.339942e-07,-1.3500368e-06,-4.965402e-07
IRL,1990,0.0008496046,0.017120957,0.021119893,-0.0007894952,-0.015860178,-0.021098303,-4.8647158e-05,-0.0011794417,-1.962629e-05,-2.79877e-06,-2.2747194e-05,-4.6853762e-07,-8.70938e-06,-5.857039e-05,-1.5002702e-06
IRN,1990,-3.6961518e-09,-9.766436e-06,-1.2776652e-09,-2.2510685e-08,-1.10365945e-05,-2.9790426e-08,-0.00023351442,-0.022245888,-0.0044729067,0.19679987,0.29071623,0.23479491,-0.1965664,-0.2684495,-0.23032199
IRQ,1990,-1.5658823e-11,-9.79592e-08,-6.3374524e-14,-9.504465e-11,-2.4188577e-07,-3.3189792e-13,-2.6179434e-06,-0.0024077143,-1.9114472e-05,-0.14435005,-0.6601746,-0.1178948,0.14435267,0.6625827,0.11791396
ISL,1990,0.00013196468,0.0054396987,0.0015785694,-9.9780176e-05,-0.0045670136,-0.001567583,-1.973603e-05,-0.0007862601,-7.853223e-06,-1.8324594e-06,-1.5805035e-05,-6.254154e-07,-1.052986e-05,-7.060213e-05,-2.5542843e-06
ISR,1990,0.029518008,0.196581,0.118923664,-0.026656251,-0.1760987,-0.118398994,-0.0028409765,-0.020386543,-0.00051672844,-1.0250257e-05,-6.730431e-05,-2.102819e-06,-1.0521784e-05,-2.8448609e-05,-5.88007e-06
ITA,1990,0.00012481213,0.007344365,0.001147747,-0.00011769773,-0.0069332174,-0.0011467213,-2.6288637e-06,-0.000253013,-3.0788414e-07,-7.6783436e-07,-2.265498e-05,-8.721324e-08,-3.7267318e-06,-0.00013553689,-5.549813e-07
JAM,1990,-0.08841487,-0.206192,-0.031477153,0.165788,0.33674675,0.07469499,-0.07721488,-0.12988299,-0.04313319,-0.00013663791,-0.0005715021,-5.6921384e-05,-2.1680125e-05,-0.00010028896,-2.7677846e-05
JOR,1990,-1.3652848e-05,-0.0009789468,-6.011722e-07,-0.00033097292,-0.0019833893,-7.417584e-05,-0.046767414,0.09935579,-0.10478783,0.05869481,-0.049634546,0.11380124,-0.011582805,-0.046758898,-0.0089386245
JPN,1990,0.000539124,0.018688023,0.0018297434,-0.00048704087,-0.016412405,-0.0018150833,-3.8316834e-05,-0.001956011,-1.0045497e-05,-2.0265588e-06,-5.5027293e-05,-7.9156723e-07,-1.1709818e-05,-0.0002645023,-3.7657542e-06
